PERMNO,HdrCUSIP,Ticker,PERMCO,DlyCalDt,DlyPrc,DlyRetx
79678,00507V10,ATVI,12499,2021-08-30,81.120000,-0.015892
79678,00507V10,ATVI,12499,2021-08-31,82.370000,0.015409
79678,00507V10,ATVI,12499,2021-09-01,82.300000,-0.000850
79678,00507V10,ATVI,12499,2021-09-02,81.310000,-0.012029
79678,00507V10,ATVI,12499,2021-09-03,81.180000,-0.001599
79678,00507V10,ATVI,12499,2021-09-07,78.470000,-0.033383
79678,00507V10,ATVI,12499,2021-09-08,80.290000,0.023194
79678,00507V10,ATVI,12499,2021-09-09,78.050000,-0.027899
79678,00507V10,ATVI,12499,2021-09-10,79.640000,0.020372
79678,00507V10,ATVI,12499,2021-09-13,78.530000,-0.013938
79678,00507V10,ATVI,12499,2021-09-14,77.840000,-0.008786
79678,00507V10,ATVI,12499,2021-09-15,78.250000,0.005267
79678,00507V10,ATVI,12499,2021-09-16,79.280000,0.013163
79678,00507V10,ATVI,12499,2021-09-17,79.560000,0.003532
79678,00507V10,ATVI,12499,2021-09-20,76.180000,-0.042484
79678,00507V10,ATVI,12499,2021-09-21,73.030000,-0.041349
79678,00507V10,ATVI,12499,2021-09-22,72.810000,-0.003012
79678,00507V10,ATVI,12499,2021-09-23,74.670000,0.025546
79678,00507V10,ATVI,12499,2021-09-24,75.260000,0.007901
79678,00507V10,ATVI,12499,2021-09-27,75.080000,-0.002392
79678,00507V10,ATVI,12499,2021-09-28,76.330000,0.016649
79678,00507V10,ATVI,12499,2021-09-29,77.380000,0.013756
79678,00507V10,ATVI,12499,2021-09-30,77.390000,0.000129
79678,00507V10,ATVI,12499,2021-10-01,78.530000,0.014731
79678,00507V10,ATVI,12499,2021-10-04,77.180000,-0.017191
79678,00507V10,ATVI,12499,2021-10-05,76.800000,-0.004924
79678,00507V10,ATVI,12499,2021-10-06,77.290000,0.006380
79678,00507V10,ATVI,12499,2021-10-07,77.360000,0.000906
79678,00507V10,ATVI,12499,2021-10-08,77.610000,0.003232
79678,00507V10,ATVI,12499,2021-10-11,76.320000,-0.016622
79678,00507V10,ATVI,12499,2021-10-12,74.920000,-0.018344
79678,00507V10,ATVI,12499,2021-10-13,75.250000,0.004405
79678,00507V10,ATVI,12499,2021-10-14,76.110000,0.011429
79678,00507V10,ATVI,12499,2021-10-15,76.400000,0.003810
79678,00507V10,ATVI,12499,2021-10-18,76.400000,0.000000
79678,00507V10,ATVI,12499,2021-10-19,77.180000,0.010209
79678,00507V10,ATVI,12499,2021-10-20,78.080000,0.011661
79678,00507V10,ATVI,12499,2021-10-21,78.700000,0.007941
79678,00507V10,ATVI,12499,2021-10-22,79.270000,0.007243
79678,00507V10,ATVI,12499,2021-10-25,81.190000,0.024221
79678,00507V10,ATVI,12499,2021-10-26,80.760000,-0.005296
79678,00507V10,ATVI,12499,2021-10-27,78.650000,-0.026127
79678,00507V10,ATVI,12499,2021-10-28,78.880000,0.002924
79678,00507V10,ATVI,12499,2021-10-29,78.190000,-0.008747
79678,00507V10,ATVI,12499,2021-11-01,79.350000,0.014836
79678,00507V10,ATVI,12499,2021-11-02,77.670000,-0.021172
79678,00507V10,ATVI,12499,2021-11-03,66.750000,-0.140595
79678,00507V10,ATVI,12499,2021-11-04,68.230000,0.022172
79678,00507V10,ATVI,12499,2021-11-05,67.830000,-0.005863
79678,00507V10,ATVI,12499,2021-11-08,66.820000,-0.014890
